,,A,Created,Company Name,Reason
729,728,,27/03/2024 20:28:46,banco daycoval,Rhein diretor de ti engravidou funcionaria e nao assumiu
730,729,,27/03/2024 20:29:56,banco daycoval,TI SUCATEADA PELO DIRETOR DE TI
731,730,,27/03/2024 20:30:43,banco daycoval,Funcionario de ti e obrigado a fica de plantão e so recebe se for acionado
732,731,,27/03/2024 20:35:15,banco daycoval,"Cultura artificial, e cobra comendo cobra"
733,732,,27/03/2024 20:36:10,banco daycoval,Time pequeno fazendo equipes tendo que trabalhar em dobro e final de semana pra cumprir metas
734,733,,27/03/2024 20:53:14,banco daycoval,"Empresa com péssimas lideranças tóxicas, RH conivente também inclusive vários casos de assédio moral, burnout e perseguição"
735,734,,27/03/2024 21:27:54,banco daycoval,Funcionários tendo crises de ansiedade na empresa por causa dos líderes
736,735,,27/03/2024 21:50:54,banco daycoval,"Lideres totalmente abusivos. Área de TI e Produtos chega a ser ridículo de tanta panelinha e gente despreparada, pregam que são uma empresa que cuidam da saúde mental do funcionário mas a maioria sai de lá com burnout, isso quando não são desligados após mencionar qualquer tipo de problema de saúde. Chefes tóxicos e machistas na área de TI."
737,736,,27/03/2024 22:06:20,banco daycoval,Diretor de TI é narcisista e gosta quer obrigar todo mundo a ficar ouvindo ele falando merda o tempo todo. Sem contar que assedia sexualmente os colaboradores
738,737,,27/03/2024 22:17:24,banco daycoval,"Gestão ultrapassada, sem humanidade, tem que ficar correndo atrás dos aprovadores de GMUD como se tivessemos fazendo um favor a eles. Trabalho que pode ser feito remoto mas te obrigam a ir pro presencial em pleno 2024."
739,738,,27/03/2024 22:50:13,banco daycoval,"Ambiente hostil, liderança ditatorial"
740,739,,18/03/2024 23:39:03,banco daycoval,"Micro gerenciamento, salário, assédio todos os dias."
741,740,,27/03/2024 21:45:12,banco daycovsl,"Empresa extremamente tóxica, a diretora Alexandre Rhein humilha e rebaixa seus funcionários, expõe eles o tempo todo!!"
742,741,,18/03/2024 13:13:45,banco do brasil,Código de ética só existe no papel. Tem que enganar os clientes pra bater meta. Presidenta do Banco está lá só de enfeite. Nada funciona de verdade.
743,742,,27/03/2024 03:21:10,banco do brasil,"Contratavam estagiarios pelo ciee e pagavam um salario de 300 reais na área de T.I. o funcionário concursado trabalhava 6h. Fazem os dois trabalhar igual e muitas vezes deixam os estagiários ficarem no ""cara ou coroa"" entre Deus e o Diabo dentro dos projetos. Quando eu estagiava, fui contratada pra uma área x, depois me mandaram fazer frontend e passar uma tela do angular pro react sem eu saber nenhuma das linguagens. Programei assistindo video aula de 2 linguagens ao mesmo tempo."
744,743,,27/03/2024 13:42:00,banco do brasil,"Existem, no papel, duas formas para você entrar na carreira de tecnologia do BB. A primeira é por concurso externo e a segunda é por uma seleção interna. Mas, se você for loira e casada com gerente de soluções você é promovida fora do processo. Parabéns ao R.T. que colocou a esposa a M.F. como assessora de TI."
745,744,,27/03/2024 13:56:43,banco do brasil,"Agora com uma PresidANTA que é LGTVHD4K+, só é promovido quem for meninE. Se não queimar não é promovidE."
746,745,,27/03/2024 13:59:24,banco do brasil,"Nunca vi uma empresa com tantos gestores incopetentes e mal formados. Pessoal raso, que se acha. Tem cultura geral baixa, repertório de palavras fraco. Quer ficar rico? Compre um Gerente Geral pelo o que ele vale e venda por quanto ele acha que vale."
747,746,,27/03/2024 14:03:02,banco do brasil,"Parece a série ""The Office"". Você tem até que chorar porque o amigo do Gerente Geral morreu, senão ele vai te F**ER na avaliação."
748,747,,27/03/2024 14:06:58,banco do brasil,"A DIPES E A GEPES SÃO UMA M**DA! NÃO RESOLVEM NADA E SÓ PUNEM FUNCIONÁRIOS. GG FAZ BESTEIRA, ASSEDIA FUNCI E NADA ACONTECE."
749,748,,27/03/2024 14:09:58,banco do brasil,"Agora que temos uma sapatona como presidente, azar o seu se você tem instrução e bate as metas. Só será promovido quem for das ""minorias"". Não importa mais o seu grau de comprometimento e entrega."
750,749,,18/03/2024 10:31:44,banco genial,"Ambiente de trabalho pesado, carga excessiva de trabalho para poucos funcionários, alta rotatividade e alto número de funcionários com burnout. Ridicularizam quem precisa se afastar por estar com burnout ou depressão devido ao alto estresse. Promoção por coleguismo, exposição das necessidades de aprendizado do funcionário na frente de todos. Te demitem sem motivo para incluir pessoas próximas (mais uma vez o uso do coleguismo), PLR baixo."
751,750,,27/03/2024 12:33:13,banco genial,"Ambiente tóxico e insalubre e lideranças totalmente despreparadas. Burnout é comum lá e mesmo assim fazem vista grossa e geralmente debocham desse tipo de situação. Além de trabalhar de forma sobrehumana, você também é obrigado a puxar o saco de algum gestor inútil para não ficar marcado e não ser demitido por motivos pessoais e fúteis."
752,751,,25/03/2024 16:32:34,banco inter,"Ambiente tóxico, só cresce se puxar saco do chefe. Gritaria e pressao desnecessaria."
753,752,,27/03/2024 08:34:20,banco inter,"Programa de cargos e salarios so para que é coordenador para cima, salarios ridiculos, gerentes mimados e despreparados. Assedio moral, humilhacoes constantes, promessas vazias"
754,753,,18/03/2024 11:29:44,banco itaú,"Tomam apenas decisões políticas, comprometem as soluções sistemas, mas quem paga o preço sempre são os desenvolvedores. No final você possui um sistema sucateado e o tempo enorme para fazer qualquer coisa é culpa sua e não daqueles que decidiram sucatear tudo."
755,754,,19/03/2024 05:58:20,banco itaú,"Ambiente extremamente tóxico, pressões absurdas por performance e resultados e clima extremamente competitivo, incentivado pelas lideranças. E o melhor: já vi gente literalmente ter enfarto dentro do banco, durante o trabalho. Precisa dizer mais ?"
756,755,,18/03/2024 10:55:45,banco mercedes benz,Erros de Gerencia que são descontados nos analistas. Processos morosos que quase sempre levam ao erro. Falhas de seguranças enormes de anos e anos e o chefe de segurança querendo culpar as equipes que nem tem como mudar algo. Mudanças de negócio quase no dia de implantação. Projetos inteiros abandonados e jogados fora. Briga politica e de Ego.
757,756,,27/03/2024 21:49:29,banco neon,Só consigo dizer que é o lugar mais péssimo que já trabalhei não desejo nem para o inimigo
758,757,,27/03/2024 08:13:46,banco original,"Para terceiros, gestão bagunçada, tratam TI como se fosse pastelaria, várias vezes emendei sábado e domingo direto sem direito a folga, para no fim os executivos jogarem o projeto no lixo"
759,758,,18/03/2024 13:16:05,banco pan,"Burocracia extrema, assédio moral"
760,759,,26/03/2024 23:49:34,banco pan,"Nenhum suporte pra funcionários neurodivergentes, horrível"
761,760,,27/03/2024 02:53:34,banco pan,"Pior empresa que já passei na vida. Tóxica ao extremo, clima péssimo, hostil, gente querendo boicotar gente. Fujam. Só fujam!"
762,761,,27/03/2024 11:29:13,banco pan,"Empresa com péssimas lideranças tóxicas, RH conivente também inclusive vários casos de assédio moral, burnout e perseguição."
763,762,,27/03/2024 21:32:42,banco pan,"Demissões em massa, péssimo planejamento, líderes tóxicos mal preparados."
764,763,,27/03/2024 22:25:25,banco pan,Liderança tóxica e inexperiente . Para crescer tem que puxa o saco da gerencia. Roadmaps mal definidos e com interesses de quem grita mais.
765,764,,27/03/2024 22:38:09,banco pan,"Casos de assédio moral nas áreas internas de consignado não é nada em vista do assédio sexual. E pior que muitas meninas se sujeitavam a tudo isso e todos sabiam dos casos lá dentro. Essas eram promovidas e recebiam boas participações nos lucros. As que não se submetem a isso, são deixadas de canto, recebem menos que as outras. É péssimo!"
766,765,,27/03/2024 18:23:44,banco pine,Preconceituoso
767,766,,27/03/2024 20:33:57,banco pine,"Totalmente despreparados e sempre prezam o puxa saquismo ao inves do profissionalismo, não agregam mao de obra e fazem a gente trabalhar 12-14-16 horas por dia e acham normal. Gerente puxando amigo que não tem conhecimento para area e superintendente que prometeu melhorias e nao ia trazer amigo, trouxe o gerente amigo, que o gerente trouxe coordenador amigo, que o coordenador trouxe analista amigo. você só fica se acatar a ttodas as regras inclusive aquelas que mudam do nada e seja feito de boneco de fantoche"
768,767,,27/03/2024 20:49:01,banco pine,"Gestor tóxico abusador, funcionários com medo"
769,768,,27/03/2024 16:33:49,banco randon,"Em uma crise de identidade para saber se trabalho na Randon, Empresas Randon, Randoncorp ou Banco Randon. Só para começar a conversa da bagunça interna que é."
770,769,,27/03/2024 10:49:38,banco randon - rands/randoncorp,"Muito discurso e condições precárias de trabalho. “Empresa humanizada” na fala, prêmio GPTW, que não reflete o despreparado de líderes, diretores, RH e Pessoas & Cultura. Infelizmente é uma empresa com alto potencial e deveria ser exemplo, mas com baixo profissionalismo de gestão e liderança tratando-se de práticas modernas, governança e estratégia que anula projetos, oportunidades e capacidades."
771,770,,18/03/2024 09:33:22,banco safra,Cabides de empregos.
772,771,,18/03/2024 11:08:01,banco safra,Cobranca por resultados
773,772,,18/03/2024 17:56:40,banco safra,"Ambiente toxico, machista, abuso moral é recorrente. Possui poucos investimentos a diversidade"
774,773,,27/03/2024 18:23:24,banco safra,Cultural
775,774,,27/03/2024 21:42:48,banco safra,"Após a chegada de Pedro Coltinho ninguém teve paz, metodologia arcaica, abuso nas metas, mentem para os clientes, metas inalcançáveis, abuso de poder dos gestores, praticam absurdos com cliente como cobrar tarifas e seguros sem contratação prévia e conhecimento dos clientes, seguros não cobrem nada."
776,775,,18/03/2024 11:18:19,banco safra,"Muita hora extra, não tem metodologia de projetos nem de avaliação"
777,776,,18/03/2024 09:43:33,banco santander,"Estagiários são tratados como numero, pressão pra entregar um simples relatório, fazem um alvoroço"
778,777,,27/03/2024 16:21:07,banco santander brasil,"No Santander há um sistemas de notas que avalia seu desempenho profissional, a DPO, é com ela que você pleita a evolução profissional/cargo dentro do banco, isso em todas as áreas, inclusive na administrativa que não contemplam as agências. Todo começo de período de avaliação, você “contrata” metas via sistema as quais seu gestor aprova e verifica se estão de acordo com suas funções, metas que lhe garantirá uma nota de 1 a 4 dependendo da sua evolução nelas. E é aí que começa a sacanagem, em todo o tempo que trabalhei lá eu nunca tive o arbítrio de contratar e discutir as metas com meu gestor, o gerente da área te enviava por e-mail ou num arquivo em rede as metas que você deveria contratar (Ctrl+C Ctrl+V no sistema). As metas quase sempre não eram alinhadas com suas funções, pois eram iguais para dezenas de pessoas de uma mesma área. No meu caso por exemplo, que era do time de MIS e desenvolvia sistemas em VBA, tinha como meta garantir que o call center tivesse 100% reclamações sanadas, e eu nem tinha posição alguma de liderança no call center.  Isso acontecia para que você jamais tirasse uma nota 4 e não evoluísse de cargo, era a forma de “prenderem” você onde estava com o argumento de que se você não evolui, é culpa totalmente sua. Se mesmo assim, você tiver um desempenho excepcional, facilmente irão colocar um argumento na sua DPO para cair para 3, assim, você não pode pedir promoção, “por não estar per formando”. Como toda a empresa que tem o selo GPTW gostam muito de mostrar a todos, porém só quem está lá dentro fica um pensamento que não sai da cabeça de que foi comprado"
779,778,,27/03/2024 22:55:42,banco toyota do brasil,"Não investem em capacitação, não inovam, mesma cultura e dogmas desde a sua criação, péssimo para fazer carreira, liderança abusiva, machismo enraizado."
780,779,,27/03/2024 10:17:55,banco volvo,"Empresa paga bem, mas a gerência e muito despreparada para trabalhar com pessoas. assedio moral frequente, 90% do quadro de pessoas que criaram dependência do salario alto, e se sujeitam a passar humilhações diarias."
781,780,,18/03/2024 11:45:34,banco votorantin,Gestores Ruins
782,781,,27/03/2024 19:10:38,banib conecta,"Diretoria perdida, não sabe o que está fazendo. Esgotam os funcionários e nunca ninguém é bom o suficiente. Demitem pessoas e ficam falando mal, CEO muito racista, machista, homofóbico e o assédio moral corre solto, com ameaças de demissão e terror psicológico, mas tudo velado. Fofocas incetivadas pela diretoria, quem é favorecido é amigo dos diretores. Sugam sua energia e depois te descartam comos e você fosse o problema."
783,782,,27/03/2024 15:53:02,bar do bigode,"Burnout, depois de abrir mais de 100 unidades no Brasil inteiro"
784,783,,27/03/2024 13:22:25,barça academy pro brasil,"Salários atrasados, cultura de mentir para clientes o tempo todo e atrocidades na forma de tratar outras pessoas. A CEO do projeto corriqueiramente diminui outras pessoas gritando, maltratando e por aí vai... Provavelmente alguém que ainda trabalha lá vai ouvir muito por essa mensagem aqui, sem a pessoa ter o mínimo de controle a respeito. Era completamente normal alguém chorando ou visivelmente abalado no escritório após uma reunião com ela (quase todo dia). Pior lugar que já trabalhei."
785,784,,27/03/2024 11:47:34,bardeo2,"local pequeno, empresa familiar, idiotice, frustrações e coisas toscas acima do trabalho"
786,785,,25/03/2024 19:42:00,base,"Empresa totalmente despreparada. Time ótimo, porém diretoria totalmente perdida e de perna aberta para os clientes"
787,786,,25/03/2024 20:02:20,base,"A startup está crescendo aos trancos e barrancos, sem um direcionamento claro de objetivos. Nesse ambiente, a diretoria tem carta branca para fazer o que quiser dentro do escopo de tecnologia, sem respeitar as boas práticas e as pessoas da equipe envolvida, comprometendo diversas vezes a saúde e estabilidade do ambiente produtivo. Sem falar da falta de direcionamento dentro dos times de tecnologia onde tudo é urgente e a prioridade muda a cada hora."
788,787,,18/03/2024 14:27:42,base facilites,"empresa horrivel , metodologia arcaica, chefe horrivel, povo antigo, sem processo, sem ti decente ambiente horrivel."
789,788,,25/03/2024 17:10:49,bate papo cell,"Empresa abusiva, gestão de merda, só contratam funcionárias dentro de certos “padrões” de beleza, dono que assedia e se aproveita das funcionárias durante as festas da empresa"
790,789,,27/03/2024 15:41:24,baterias moura,"Empresa extremamente racista, gordofóbica, e homofóbica, pessoas com essas características não contratadas, percebi isso depois que trabalhei la, 90% dos funcionários são brancos e magros, as poucas que tem fora do padrão da empresa, entraram por forte indicação ou realizam serviços que mais ninguém faz, tipo limpeza e serviços pesados. mesmo sendo na região nordeste, eles conseguiram essa proeza de concetrar maior parte de pessoas brancas dentro da empresa, e so e nítido quando você trabalha nela, e ver como e real, sou branco e so percebi isso quando meu amigo negro me contou."
791,790,,27/03/2024 15:49:05,baterias moura,"Empresa explora funcionários na produção, se você adoecer se prepare porque vai ficar mal, dizem que cuidam dos funcionários, e controlam a taxa de chumbo no sangue, mais e só conversa fiada, dentro da empresa só avança quem eles querem , pra entrar na empresa tem que ser branco e magro, outros que entrarem e porque conhece alguém aqui dentro, e se você for indicado, você ta feito, que participa de processos seletivos não tem menor chance. alguns encarregados são abusivos e arrogantes, tratam você como lixo."
792,791,,27/03/2024 16:08:45,baterias moura,"Lá só cresce quem os encarregados comem, ou quem lambe o saco da gestão, funcionários mais baixo não crescem, so quem eles comem ou colocam lá dentro por indicação, e ficar doente , tenha certeza que sua demissão e certa no mês seguinte, ou seja vire um robô."
793,792,,27/03/2024 19:48:44,baterias moura,"Assediadores,arrogantes,desmotivadores, sobe de nível quem abre as pernas, pra ter um cargo aqui não precisa de passar em seleção ou ter conhecimento, basta ter um caso com algum encarregado ou gestor e sua vaga ta garantida."
794,793,,27/03/2024 00:20:30,bauer do brasil,"CEO despreparado, fofoca como cultura, Depto Pessoal é dono da fofoca e desumanizado. Demissões baseado em opinioes de liderancas e parentes da familia"
795,794,,27/03/2024 18:38:16,bayer,Pessoa com cargo de Head na consumer health racista que trata muito mal pessoas de cor e a empresa disfarça usando discurso de inclusão e diversidade que só existe mesmo na mídia
796,795,,18/03/2024 21:28:41,bbchain,No glassdoor é tudo manipulado. Empresa que deixou de ser startup mas para manter essa visão de de fazam de tudo ainda se chama startup. Se trabalha mais das 8 horas e nem se recebe hora extra nem tem banco de horas.
797,796,,27/03/2024 11:04:04,bbm,Gestão extremamente prematura. Presidente só pensa no marketing dele. Os colaboradores são levados ao limite e não são valorizados. A diretoria a todo momento fica cortando benefícios que já são poucos. RH não tem voz na empresa apensar de ser uma área bem grande.
798,797,,27/03/2024 08:30:39,bbm logistica,"Empresa não paga o FGTS, diretoria não sabe o que esta fazendo, presidente corta o bônus de final de ano para gastos pessoais."
799,798,,27/03/2024 12:17:34,bbm logistica,"Empresa não paga o FGTS. Faz live de fim de ano onde o presidente xinga os funcionários porque cobraram cesta de fim de ano. Presidente arcaico e usa a empresa para gastos pessoais, depois vem na mídia se pagar de santo. Empresa mal administrada, demite funcionários que reclamaram da cesta de fim de ano na live."
800,799,,27/03/2024 09:26:23,bbm logística,"Diretoria sem direcionamento, gerente geral ADM tem uma gestão horrível, não ouve os colaboradores e só faz o que é coerente para ele, e não para a empresa e funcionários"
801,800,,27/03/2024 08:35:05,bbm logística s.a,"Empresa totalmente tóxica, Diretoria despreparada, gastam dinheiro com coisas que não deveriam e não dão nem um franguinho no fim de ano para os funcionários, eu faço parte do time de tecnologia e a Diretora é uma boçal, mal educada e assedia os funcionários mentalmente, o time trabalha das 8:00 as 18:00 e tem que ficar respondendo Whatsapp 24 horas por dia e atendendo ligações de madrugada, TUDO NESSA EMPRESA É URGENTE!!!!"
802,801,,18/03/2024 11:44:10,bcg,"Cria uma cultura extremamente tóxica de performance e competição, onde cada trabalho vc recebe uma nota que pode te colocar em um lugar de demissão. Já vi vários colegas trabalhando mais de 80horas por semana e tendo burnout e licença psiquiátrica. Cultura de performance super tóxica."
803,802,,27/03/2024 14:52:41,bcg,"A empresa mais tóxica onde trabalhei. Carga de trabalho absurda, burnout, competição, nada nunca é bom o suficiente, adoeci nesse lugar. Os benefícios e o salário não valem vender a alma pra essa empresa."
804,803,,27/03/2024 15:23:01,bcg,"Sinônimo de toxicidade. É comum vc ver pessoas trabalhando até de madrugada no escritório. Cultura onde se premia quem se mata de trabalhar, mesmo que isso custe o psicológico da pessoa. Passei a ter crise de ansiedade por ter trabalhado lá"
805,804,,27/03/2024 09:27:01,bdo,"Ambiente extremamente tóxico, onde os superiores fazem chacota com os JR, Plenos e Seniors"
806,805,,27/03/2024 10:47:26,bdo,"O salário para níveis iniciais é simplesmente ridículo! Vendem horas de trainee e Jr como cargos mais altos, e o profissional acaba não recebendo nem 10% do que rende para a empresa. Busy Season é simplesmente insuportável"
807,806,,27/03/2024 10:49:03,bdo,"PLR sem justificativa nenhuma, simplesmente inventaram um número sem base. Funcionários de SP ganham muito mais do que os das filiais"
808,807,,27/03/2024 21:20:19,bdo fiscal,"Gerentes péssimo, gestão com cliente nota 0,  promoções apenas para quem “dar” para condenadores, seu trabalho e conhecimentos não são valorizado, dono da empresa, é velho ridículo racista, que acha que somos escravos, empresa preconceituosa e homofóbica.  CUIDADO Ficaria horas falando mal deles."
809,808,,18/03/2024 15:48:55,be growth,Contratam juniors como PJ em todas as areas pra pagar salario mínimo
810,809,,27/03/2024 13:27:20,bebyte s/a,CEO é narcisista e gosta quer obrigar todo mundo a ficar ouvindo ele falando merda o tempo todo. Sem contar que assedia sexualmente os colaboradores.
811,810,,26/03/2024 23:06:46,beep saude,"Ambiante machista, assedio moral e sexual naturalizado. Se você se incomoda, te demitem dizendo que vc nao se encaixa na cultura. Obriga as mulheres a usarem salto alto, maquiagem, fazer unha toda semana e usar roupas arrumadas sem nenhum incentivo financeiro e com salario ridículo"
812,811,,26/03/2024 23:03:03,beep saúde,"Empresa gordofobica, contrata pela aparência, todo mundo é casado e se pega pelos corredores, assedio moral e sexual o tempo inteiro, fazem uma lavagem cerebral pra voce viver pela empresa, uma zona, sócios escolhem quanto vão tirar de salario no mês"
813,812,,27/03/2024 20:37:53,beep saúde,"Sobrecarga de trabalho, todas as áreas da empresa trabalham com menos braços que o necessário. Dono só visa corte de despesas."
814,813,,25/03/2024 16:17:01,bees,Permite que lideres persigam os funcionários e demitem o funcionário no lugar do lider
815,814,,27/03/2024 03:36:18,bees,"Muitas camadas de liderança, mas quando realmente precisa de alguém pra resolver ninguém consegue e dizem que precisa ""escalar"". Não há inclusão real, mulheres recebem menores salários mesmo em posições iguais. Processo de promoção é falho, burocrático e no final importa mais de quem você é amigo."
816,815,,27/03/2024 10:53:59,bees,Demitiram uma pessoa por beber e dirigir depois de um happy hour. Ate ai ok. Mas até o VP de tecnologia bebe e pega o carro depois dos happy hours e segue empregado.
817,816,,27/03/2024 11:07:03,bees,"Não recomendaria para o meu pior inimigo trabalhar na BEES, tudo nessa empresa esta errado, tudo, a liderança do time de arquitetura mobile é a mais incompetente que eu já vi na minha vida toda, haja visto demitiram o arquiteto de software, e colocaram um cara novo que simplesmente sumiu e nos deixou na mão por não aguentar o alto nível de incompetência da gestão."
818,817,,27/03/2024 11:15:03,bees,"essa empresa não tem NENHUM ponto positivo, literalmente demitiram os arquitetos de software da empresa, demitiram um monte de sênior e ainda cancelaram contrato com consultoria e deixaram um monte de pleno achando que a nós iriamos fazer milagre, estou aceitando vaga até de junior pra ir embora desse inferno."
819,818,,27/03/2024 11:20:50,bees,"O verdadeiro inferno na terra, aqui eu aprendi que esse selo GPTW significa PORRA NENHUMA, prazos apertados, micro gerenciamento de lideres incompetentes, e sem partir pra o ad hominem tem uma tal de Ana que não promove mulheres que ela acha que podem superar ela, não vejo a hora de ir embora desse lugar e nunca mais olhar para trás."
820,819,,27/03/2024 17:00:59,bees,Empresa absurdamente toxica que nem todo ecossistema ambev. Quem não passa por cima das pessoas pra crescer é raridade. Sofri um burnout e ameaçaram me demitir pois eu não performava igual antes em 1 mês de retorno
821,820,,27/03/2024 11:10:50,bees,"EU NÃO SEI COMO UMA EMPRESA TÃO TERRÍVELMENTE INCOMPETENTE SE MANTEM, eles colocaram investimento altissimo em uma propaganda que acabou com o nosso PLR, E AINDA TIVERAM A BACHORRA de dizer que foi por uma boa causa."
822,821,,27/03/2024 11:13:10,bees - (ab-inbev),"eu não sei sinceramente qual dos gerentes é mais inconpetente aqui dentro, contando os segundos para ir embora desse inferno na primeira oportunidade, os caras dmitiram todos quase todos os arquitetos de software e querem que a gente faça milagre pagando micharia no salário e 600 reais de tiket vai se foder."
823,822,,25/03/2024 17:35:07,bees (ambev),"1- Diretores estão tirando mais de 100k de bônus todo ano pra fazer layoff nos times e aumentar a demanda… 2- Todo tipo de assédio é tolerado lá dentro 3- Estão demitindo e contratando mais barato, além de forçar o presencial 4- Projetos com prazos impossíveis e muita hierarquia 5- muita gente puxando tapete igual Ambev"
824,823,,27/03/2024 00:33:08,bees (ambev),"Gestores perdidos, não dão o auxílio necessário para nossa evolução de carreira, onde apenas a panela recebe promoção"
825,824,,18/03/2024 09:35:33,bees (ambev),"Pressão para alcançar resultados extraordinários, prometem mundos e fundos mas pagam metade do salário."
826,825,,25/03/2024 18:34:49,bees bank,"Muito ruim, falta de profissionalismo, falta de compromisso com os funcionários, assédio, pagam baixos salários às mulheres."
827,826,,25/03/2024 18:50:37,bees bank,"Um pesadelo, não recomendo, não vale a saúde mental."
828,827,,25/03/2024 18:51:22,bees bank,Fazem programas para incentivar mulheres e sororidade no primeiro assédio demitem a mulher.
829,828,,25/03/2024 18:59:17,bees bank,Tive o pior gestor possível tratava todo mundo igual lixo de forma desumana.
830,829,,25/03/2024 19:00:08,bees bank,"Microgerenciamento, péssima gestão, péssimas decisões, brigas de ego, criam dificuldades para possibilidade de crescimento."
831,830,,18/03/2024 11:07:12,bees bank - ambev,"""Promoções"" sem aumento de salário, Ambiente de alta pressão, Ambiente de alto viés e controle ideológico (nas entrelinhas),  Ambiente pseudo meritocrático, não paga hora extra (e pode apostar que serão muitas),  Processos extremamente burocráticos (principalmente para as promoções) e ágeis para as demissões, erros de decisões executivas são pagos pelos funcionários."
832,831,,25/03/2024 18:30:07,bees bank ambev,"Pior empresa do mundo para se trabalhar, independente da geração, eu e meus colegas de trabalho fomos assediados pelo gerente e fomos demitidos em seguida, o gerente implicou comigo, pois dei um fora nele, pois ele tinha interesses fora do trabalho por mim"
833,832,,18/03/2024 09:15:33,bees brasil,"A gestão é péssima, haja visto que nos últimos meses muitas pessoas pediram demissão pois não aguentaram a pressão de trabalhar lá. O Vezza, vice presidente da empresa, está coagindo e forçando a volta ao trabalho híbrido, não aumenta nosso VA/VR (que é de R$600,00 apenas) pois ele justifica que, para fazer a refeição in loco, no restaurante da empressa, é o suficientem fora outros absurdos como falar que ""Isso não é mais problema nosso"" um dia depois de uma iniciativa do pessoal de marketing em relação ao dia do orgulho LGBTQPIA+...é um festival de horrores trabalhar lá."
834,833,,27/03/2024 11:09:24,bees brasil,"liderança terrível, demitiram um profissional chave para empresa assim que descobriram que ele iniciou um processo de tratamento de Câncer, mas deve ser coincidência."
835,834,,18/03/2024 11:23:04,bees da ab inbev,"Desenvolvimento de produto medíocre, cultura organizacional tóxica e herdada da Ambev"
836,835,,27/03/2024 22:11:36,bees/ambev,"Gestores praticam assdio moral e no meu caso meu gestor não sabia lidar com o fato de eu ser mais velho que ele (etarismo). Além disso, exigia que eu fosse ao escritório para fazer reuniões remotas com o time que eu participava e era espalhado pelo Brasil, ou seja, precisavam justificar os puffs e vídeo games empoerando."
837,836,,27/03/2024 22:35:42,bela mares construtora e incorporadora ltda,Dono muito desumano
838,837,,18/03/2024 12:52:21,belago,"Desorganização, falta de clareza sobre os processos, muita politicagem, comunicação terrível, pessoas incompetentes em cargos decisivos. Enfim um lugar pra conhecer e fugir na primeira oportunidade."
839,838,,27/03/2024 10:21:23,belchior,"Dona da empresa é uma bruxaaa, ela faz o funcionário voltar trabalhar antes do atestado acabar"
840,839,,27/03/2024 10:19:47,belchior,"Donos totalmente tóxicos, os funcionários não podem pegar atestado de forma alguma"
841,840,,27/03/2024 10:23:01,belchior,"PIOR LUGAR, DONOS CONTRATARAM UMAS CONSULTORAS HORRIVEEEEIS"
842,841,,27/03/2024 10:34:53,belchior,Donos com mentalidade da idade da pedra
843,842,,18/03/2024 18:48:57,belenus,"Empresa tóxica, gestores incompetentes, nenhum benefício e salários atrasados"
844,843,,19/03/2024 06:55:48,belenus,"Diretor do ti que não sabe de tecnologia, código ruim, assédio moral, empresa tira tudo dos funcionários"
845,844,,27/03/2024 14:20:46,belliz company,"ambiente tóxico, CEO microgerenciador"
846,845,,18/03/2024 10:30:24,bemobi,"Tem gestores tóxicos, meu último gestor eu era OBRIGADO a rir das piadas dele; Outro ponto são os baixos salários para quem não é de T.I, a descrepância chega a ser mais que o dobro ( e as vezes o triplo) pro mesmo cargo.; Não existe plano nenhum de carreira se você não baba ovo do seu chefe."
847,846,,18/03/2024 11:47:15,bemobi,"Pessoais horriveis de trabalhar, panelinha e muita fofoca pelos corredores, tentam derrubar qualquer um que a panelinha não gosta. Já tiraram gerentes, diretores, devs e afins."
848,847,,27/03/2024 19:17:30,bemobi,"Empresa que só mantem pessoas de baixo caráter, é comum o assédio moral e sexual, inventam mentiras para os clientes, criam prazos inescrupulosos pra enganar em contratos, tem muita fofoca nos corredores, tem um grupo de pessoas que fazem de tudo pra tirar quem não faz parte da panelinha."
849,848,,27/03/2024 22:18:53,bemobi,"Um local pra reunir gestores horríveis que agem da pior maneira possível, mentem para o cliente, praticam assédio moral, sexual, fazem fofoquinhas nos corredores, inventam situações inexistentes para queimar quem não gostam, além disso tem um grupo que são unidos para prejudicar quem eles não gostam."
850,849,,18/03/2024 11:05:58,bemobi-m4u,"Desorganização de projetos, que costumam ser solicitados dois dias antes do lançamento. Direcionamento para mentir e inventar soluções que não existem nem possuem aval como forma de tentar fechar contratos. Gestões tóxicas que costumam ameaçar com demissão em feedback. Colegas de trabalho falsos que adicionam você nas redes sociais para caçar motivos para tentar jogar você embaixo do ônibus dentro da empresa. Coleta descontrolada de dados pessoais, inclusive de terceiros que não são clientes e menores de idade. Direcionamento de superiores para esconder informações de juros no checkout, para que as pessoas não saibam quanto estão pagando a mais no parcelamento. Direcionamento proposital para incentivar envio de publicidades online para menores de idade. Acúmulo de funções. Dizem ser uma empresa preocupada com inclusão, mas na prática internamente é extremamente homogênea, sem pessoas negras em cargos importantes. Direcionamento para vender a qualquer custo, escondem depois as informações de cancelamento de produtos abusivos."
851,850,,27/03/2024 21:03:01,bemol,"Fazem de tudo para os funcionários ficarem em pé de guerra, tornando o ambiente tóxico. São extremamente opressores, e se você for assediadA ELES VÃO COLOCAR A CULPAR EM VOCÊ"
852,851,,20/03/2024 12:14:49,benner,"Não recebe aumento, home office da sua casa"
853,852,,25/03/2024 15:26:19,benner,"Demissão sem motivos, monitoramento abusivo, banheiros sujos na unidade de maringá, gestão de maringá é péssima e nunca pensa nos funcionários."
